index,seq_number,content_encripted,high_security,n_forwards,timestamp_sent,timestamp_received,current_pkt_frequency,Latency(R1),Latency(R2)
0,0,xu26jjt0jt7,false,1,1623446384704,1623446384737,100,99,
1,1,jkkim3r14c,false,1,1623446384731,1623446384739,100,24,
2,2,el19657takv,false,1,1623446384743,1623446384745,100,6,
3,3,72tewn0ryuf,false,1,1623446384755,1623446384757,100,6,
4,4,03rc8t9haklv,false,1,1623446384767,1623446384769,100,6,
5,5,82B4640893690000,true,3,1623446384790,1623446384804,100,,42
6,7,j45c8uk0js,false,1,1623446384820,1623446384822,100,6,
7,6,AD745F8053210000,true,3,1623446384809,1623446384824,100,,45
8,8,xdc4o2xrp4,false,1,1623446384831,1623446384833,100,6,
9,9,12442EF8CE6B0001,true,3,1623446384850,1623446384865,100,,45
10,11,wk8c9ra76cq,false,1,1623446384880,1623446384882,100,6,
11,10,43F4070B439F0000,true,3,1623446384869,1623446384884,100,,45
12,12,81AEDA027E480001,true,3,1623446384896,1623446384910,100,,42
13,14,7dvnewchzev,false,1,1623446384925,1623446384927,100,6,
14,13,A314A70BA39F0000,true,3,1623446384914,1623446384929,100,,45
15,16,imqo5n3s82,false,1,1623446384954,1623446384955,100,3,
16,15,4334177B13EF0000,true,3,1623446384942,1623446384957,100,,45
17,18,9mwprduml2n,false,1,1623446384982,1623446384983,100,3,
18,17,C334874D48BC0000,true,3,1623446384971,1623446384985,100,,42
19,19,6fmhlgxue1w,false,1,1623446384992,1623446384993,100,3,
20,20,01985CA1DD900001,true,3,1623446385008,1623446385021,100,,39
21,22,25ty9jxlvg5,false,1,1623446385036,1623446385037,100,3,
22,21,41F4EF05EBFB0000,true,3,1623446385024,1623446385039,100,,45
23,23,8F246490A2570000,true,3,1623446385059,1623446385074,100,,45
24,25,g89j1iql7f,false,1,1623446385086,1623446385087,100,3,
25,24,8DDE8A8343840000,true,3,1623446385074,1623446385089,100,,45
26,26,kdbff917eyg,false,1,1623446385096,1623446385097,100,3,
27,27,x4ux0srzxxg,false,1,1623446385108,1623446385109,100,3,
28,28,46AD5F89B3C70000,true,3,1623446385121,1623446385135,100,,42
29,30,8htp8tvmpy4,false,1,1623446385148,1623446385149,100,3,
30,29,4276430553710001,true,3,1623446385136,1623446385151,100,,45
31,31,C234D3F373480000,true,3,1623446385162,1623446385176,100,,42
32,33,pvpa8utl8e,false,1,1623446385186,1623446385188,100,6,
33,32,0104444C9FE70000,true,3,1623446385175,1623446385190,100,,45
34,34,C3446F6F8BAC0000,true,3,1623446385201,1623446385214,100,,39
35,35,822A7A87331D0001,true,3,1623446385215,1623446385229,100,,42
36,36,C0166B2FC3160001,true,3,1623446385229,1623446385237,100,,24
37,37,C5CB6746D56F0001,true,3,1623446385244,1623446385252,100,,24
38,38,5wenwtsdbik,false,1,1623446385255,1623446385256,100,3,
39,39,lkm0vkepv2m,false,1,1623446385265,1623446385267,100,6,
40,40,ukr6gajjd,false,1,1623446385277,1623446385278,100,3,
41,41,C9A417B23E1E0001,true,3,1623446385292,1623446385301,100,,27
42,42,49DB160623A80001,true,3,1623446385306,1623446385314,100,,24
43,43,32A943F083F50000,true,3,1623446385320,1623446385328,100,,24
44,44,8zv9xceozea,false,1,1623446385330,1623446385332,100,6,
45,45,dcy9jnmxs4,false,1,1623446385342,1623446385343,100,3,
46,46,m9aepcl8qjq,false,1,1623446385352,1623446385354,100,6,
47,47,CEBE336693BB0001,true,3,1623446385367,1623446385375,100,,24
