index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,latency
0,0,z1e9me9lx67,false,1,192.168.1.114,1623411530028,1623411530059,31
1,2,zdapzvgw9cd,false,1,192.168.1.114,1623411530073,1623411530075,2
2,1,48014F44A30A0001,true,3,192.168.1.112,1623411530061,1623411530077,16
3,3,xwc1p9vy48,false,1,192.168.1.114,1623411530083,1623411530086,3
4,5,0ay5iabldraf,false,1,192.168.1.114,1623411530113,1623411530115,2
5,4,21B16E8B0EA20001,true,3,192.168.1.112,1623411530101,1623411530117,16
6,6,oeqk13lsrfg,false,1,192.168.1.114,1623411530123,1623411530125,2
7,7,ty174c6k9ca,false,1,192.168.1.114,1623411530135,1623411530136,1
8,8,4004451CC3F60001,true,3,192.168.1.112,1623411530152,1623411530168,16
9,9,7334A60AE3E90000,true,3,192.168.1.112,1623411530170,1623411530186,16
10,11,u3ipu7s536,false,1,192.168.1.114,1623411530196,1623411530198,2
11,10,80393F3F36970001,true,3,192.168.1.112,1623411530186,1623411530200,14
12,12,9ifiq1tz5y,false,1,192.168.1.114,1623411530208,1623411530209,1
13,13,o1ddfs21udn,false,1,192.168.1.114,1623411530218,1623411530219,1
14,14,2qhu1kcwd18,false,1,192.168.1.114,1623411530228,1623411530230,2
15,15,aw43b7rmygq,false,1,192.168.1.114,1623411530240,1623411530241,1
16,17,4d7f2xdxl02,false,1,192.168.1.114,1623411530270,1623411530271,1
17,16,81D13B3DB7140001,true,3,192.168.1.112,1623411530258,1623411530274,16
18,18,fau5l0rnxul,false,1,192.168.1.114,1623411530280,1623411530281,1
19,19,fxw8k9mgzd,false,1,192.168.1.114,1623411530290,1623411530291,1
20,20,36pxhq0yfhh,false,1,192.168.1.114,1623411530301,1623411530302,1
21,21,cxeeusr7137,false,1,192.168.1.114,1623411530312,1623411530314,2
22,23,tz40m19t1qk,false,1,192.168.1.114,1623411530340,1623411530351,11
23,22,C2CB67CD135F0001,true,3,192.168.1.112,1623411530328,1623411530353,25
24,24,ge13rgishxk,false,1,192.168.1.114,1623411530351,1623411530355,4
25,25,bb33eyzf5db,false,1,192.168.1.114,1623411530361,1623411530362,1
26,27,z5bygnz0cpo,false,1,192.168.1.114,1623411530387,1623411530389,2
27,26,12177C47069B0001,true,3,192.168.1.112,1623411530377,1623411530392,15
28,29,1oh97eb7mm4,false,1,192.168.1.114,1623411530414,1623411530415,1
29,28,85F2712CB3E00001,true,3,192.168.1.112,1623411530402,1623411530417,15
30,30,tadr123woai,false,1,192.168.1.114,1623411530425,1623411530426,1
31,31,0r0ydp3rhcf,false,1,192.168.1.114,1623411530435,1623411530436,1
32,33,57yo3rpms8e,false,1,192.168.1.114,1623411530463,1623411530464,1
33,32,CEB47A475C0E0000,true,3,192.168.1.112,1623411530451,1623411530467,16
34,34,829DAC8CCB2A0000,true,3,192.168.1.112,1623411530486,1623411530502,16
35,36,cbp5vwpkl0h,false,1,192.168.1.114,1623411530513,1623411530514,1
36,35,4F64578003800000,true,3,192.168.1.112,1623411530501,1623411530516,15
37,37,8ld8ljtbgka,false,1,192.168.1.114,1623411530523,1623411530524,1
