index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,latency,l_1,l_2
0,0,3tnu4zzo524,false,1,192.168.1.114,1623412841299,1623412841330,31,31,
1,2,rh1jlqo6zz,false,1,192.168.1.114,1623412841349,1623412841352,3,3,
2,1,A214CB4F13E60001,true,3,192.168.1.112,1623412841337,1623412841353,16,,16
3,3,CE445383F68F0000,true,3,192.168.1.112,1623412841367,1623412841382,15,,15
4,4,1yzxcpmtar4,false,1,192.168.1.114,1623412841379,1623412841383,4,4,
5,5,B51261C68D410000,true,3,192.168.1.112,1623412841397,1623412841414,17,,17
6,6,21AD5FF6F4A90001,true,3,192.168.1.112,1623412841417,1623412841431,14,,14
7,7,B3742704E3D10001,true,3,192.168.1.112,1623412841435,1623412841452,17,,17
8,8,0044A36CD3560001,true,3,192.168.1.112,1623412841455,1623412841471,16,,16
9,10,5jj2vs5vm7r,false,1,192.168.1.114,1623412841483,1623412841486,3,3,
10,9,A0C10F25A3CB0001,true,3,192.168.1.112,1623412841472,1623412841488,16,,16
11,12,jlfb59lpcen,false,1,192.168.1.114,1623412841513,1623412841516,3,3,
12,11,C10AF138E3940000,true,3,192.168.1.112,1623412841502,1623412841517,15,,15
13,13,8gcji269p2,false,1,192.168.1.114,1623412841525,1623412841527,2,2,
14,14,wz3wo3zsh0g,false,1,192.168.1.114,1623412841536,1623412841538,2,2,
15,15,8649C9826C0B0001,true,3,192.168.1.112,1623412841551,1623412841567,16,,16
16,17,rp83qrukgkk,false,1,192.168.1.114,1623412841577,1623412841579,2,2,
17,16,89346B41A37C0000,true,3,192.168.1.112,1623412841566,1623412841582,16,,16
18,18,jqmoyoze5k,false,1,192.168.1.114,1623412841589,1623412841592,3,3,
19,20,spbdectsejd,false,1,192.168.1.114,1623412841626,1623412841629,3,3,
20,19,4014CB0B50CF0000,true,3,192.168.1.112,1623412841615,1623412841630,15,,15
21,21,F22467C5AC730000,true,3,192.168.1.112,1623412841643,1623412841657,14,,14
