index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,current_pkt_frequency,latency,l_1,l_2
0,0,u4nvuglkk6p,false,1,192.168.1.114,1623445103710,1623445103743,100,33,33,
1,2,0xpmgnjnnpo,false,1,192.168.1.114,1623445103758,1623445103761,100,3,3,
2,1,81C2550665460001,true,3,192.168.1.112,1623445103747,1623445103763,100,16,,16
3,4,cddoc2j6vt,false,1,192.168.1.114,1623445103788,1623445103791,100,3,3,
4,3,96B14783C3EC0000,true,3,192.168.1.112,1623445103777,1623445103793,100,16,,16
5,5,t1qkguinh4,false,1,192.168.1.114,1623445103799,1623445103801,100,2,2,
6,6,fc72fp8l8b,false,1,192.168.1.114,1623445103811,1623445103813,100,2,2,
7,7,amyrgmany8,false,1,192.168.1.114,1623445103822,1623445103824,100,2,2,
8,8,cc6mlk1vl5,false,1,192.168.1.114,1623445103833,1623445103834,100,1,1,
9,9,0rs5nij6y9y,false,1,192.168.1.114,1623445103843,1623445103845,100,2,2,
10,10,43340BC6C3920001,true,3,192.168.1.112,1623445103862,1623445103875,100,13,,13
11,11,C1145D6D13760001,true,3,192.168.1.112,1623445103880,1623445103895,100,15,,15
12,13,i88g2wiu8sq,false,1,192.168.1.114,1623445103909,1623445103911,100,2,2,
13,12,5ED4538DD3A90001,true,3,192.168.1.112,1623445103897,1623445103913,100,16,,16
14,14,8mqolldw7m3,false,1,192.168.1.114,1623445103919,1623445103921,100,2,2,
15,15,7kjeap0zgis,false,1,192.168.1.114,1623445103930,1623445103932,100,2,2,
16,17,on1owhspcza,false,1,192.168.1.114,1623445103960,1623445103962,100,2,2,
17,16,0E241B36F2FF0001,true,3,192.168.1.112,1623445103949,1623445103966,100,17,,17
18,18,fmrpgupg21n,false,1,192.168.1.114,1623445103972,1623445103973,100,1,1,
19,19,oc7nvv9m6h,false,1,192.168.1.114,1623445103982,1623445103984,100,2,2,
20,20,f1wfqvzavhd,false,1,192.168.1.114,1623445103994,1623445103995,100,1,1,
21,22,2nh64cpwy3w,false,1,192.168.1.114,1623445104020,1623445104022,100,2,2,
22,21,618B6646236B0001,true,3,192.168.1.112,1623445104010,1623445104024,100,14,,14
23,23,F3234844C3890001,true,3,192.168.1.112,1623445104038,1623445104053,100,15,,15
24,24,63043FCB43CF0000,true,3,192.168.1.112,1623445104053,1623445104068,100,15,,15
25,26,y8t75pab22l,false,1,192.168.1.114,1623445104079,1623445104081,100,2,2,
26,25,F1145F4E73960001,true,3,192.168.1.112,1623445104069,1623445104085,100,16,,16
27,27,lt9sh7dzp1,false,1,192.168.1.114,1623445104091,1623445104092,100,1,1,
28,28,p2kwgtm2sv,false,1,192.168.1.114,1623445104101,1623445104103,100,2,2,
29,29,wpxqsx0cxzb,false,1,192.168.1.114,1623445104113,1623445104114,100,1,1,
30,31,op4je0e7k4o,false,1,192.168.1.114,1623445104147,1623445104149,100,2,2,
31,30,8315B7F7D3770001,true,3,192.168.1.112,1623445104136,1623445104151,100,15,,15
32,33,hy96ecwb80f,false,1,192.168.1.114,1623445104174,1623445104176,100,2,2,
33,32,B10AA04608870000,true,3,192.168.1.112,1623445104163,1623445104179,100,16,,16
34,34,o1zjucyrqh,false,1,192.168.1.114,1623445104186,1623445104188,100,2,2,
35,35,0memkh5fvsk,false,1,192.168.1.114,1623445104196,1623445104198,100,2,2,
36,36,lgiydjkauon,false,1,192.168.1.114,1623445104207,1623445104209,100,2,2,
37,37,86F450831F330001,true,3,192.168.1.112,1623445104224,1623445104240,100,16,,16
38,39,61h8ox6xvin,false,1,192.168.1.114,1623445104251,1623445104252,100,1,1,
39,38,F144DF4C9F530000,true,3,192.168.1.112,1623445104239,1623445104255,100,16,,16
40,41,461lp5evlpa,false,1,192.168.1.114,1623445104276,1623445104278,100,2,2,
41,40,C3A0774083700000,true,3,192.168.1.112,1623445104264,1623445104279,100,15,,15
42,43,npxx7suh9p,false,1,192.168.1.114,1623445104302,1623445104303,100,1,1,
43,42,C91D67CE03040001,true,3,192.168.1.112,1623445104291,1623445104306,100,15,,15
44,44,8k50vgk5lic,false,1,192.168.1.114,1623445104312,1623445104314,100,2,2,
45,45,mea6nx6lake,false,1,192.168.1.114,1623445104324,1623445104325,100,1,1,
46,46,483F47C463D00001,true,3,192.168.1.112,1623445104337,1623445104353,100,16,,16
47,48,j3nwqhnr27h,false,1,192.168.1.114,1623445104364,1623445104365,100,1,1,
48,47,C2626384E3190001,true,3,192.168.1.112,1623445104352,1623445104368,100,16,,16
49,49,tk7slegghok,false,1,192.168.1.114,1623445104374,1623445104376,100,2,2,
50,50,i0dwpwsfd08,false,1,192.168.1.114,1623445104386,1623445104388,100,2,2,
51,51,xkss1gjjj18,false,1,192.168.1.114,1623445104396,1623445104398,100,2,2,
52,52,0184444AC3D90000,true,3,192.168.1.112,1623445104411,1623445104425,100,14,,14
53,54,pgqqdu1wfi8,false,1,192.168.1.114,1623445104437,1623445104439,100,2,2,
54,53,4114BFEDA3160001,true,3,192.168.1.112,1623445104427,1623445104442,100,15,,15
55,55,8xdz0gnzcqt,false,1,192.168.1.114,1623445104451,1623445104453,100,2,2,
56,56,e226ar39b5w,false,1,192.168.1.114,1623445104461,1623445104463,100,2,2,
57,58,fb486t01alk,false,1,192.168.1.114,1623445104485,1623445104487,100,2,2,
58,57,062F6F83B3060000,true,3,192.168.1.112,1623445104475,1623445104489,100,14,,14
59,59,yec56mjtnu,false,1,192.168.1.114,1623445104497,1623445104498,100,1,1,
60,60,923C5308B39C0000,true,3,192.168.1.112,1623445104510,1623445104524,100,14,,14
61,62,bmhhnak9fj,false,1,192.168.1.114,1623445104534,1623445104535,100,1,1,
62,61,A03D3FC583370001,true,3,192.168.1.112,1623445104522,1623445104536,100,14,,14
63,64,g0krgl79oz,false,1,192.168.1.114,1623445104556,1623445104558,100,2,2,
